charge_id,account_id,batch_id,charge_date,charge_type,charge_amount,generated_at
CHG-000045,ACCT-000013,B0001,2026-01-06,Rider,333.73,2026-07-12T19:44:37+00:00
CHG-000046,ACCT-000013,B0001,2026-01-01,Base Fee,140.82,2026-07-12T19:44:37+00:00
CHG-000047,ACCT-000013,B0001,2026-01-14,Base Fee,333.08,2026-07-12T19:44:37+00:00
CHG-000048,ACCT-000013,B0001,2026-01-12,Energy,396.21,2026-07-12T19:44:37+00:00
CHG-000049,ACCT-000014,B0001,2026-01-11,Delivery,388.86,2026-07-12T19:44:37+00:00
CHG-000050,ACCT-000015,B0001,2025-12-27,Energy,156.17,2026-07-12T19:44:37+00:00
CHG-000051,ACCT-000016,B0001,2025-12-24,Rider,66.64,2026-07-12T19:44:37+00:00
CHG-000052,ACCT-000016,B0001,2025-12-25,Delivery,193.37,2026-07-12T19:44:37+00:00
CHG-000053,ACCT-000016,B0001,2025-12-21,Tax Surcharge,149.64,2026-07-12T19:44:37+00:00
CHG-000054,ACCT-000017,B0001,2026-01-01,Energy,327.16,2026-07-12T19:44:37+00:00
CHG-000055,ACCT-000017,B0001,2025-12-24,Base Fee,283.78,2026-07-12T19:44:37+00:00
CHG-000056,ACCT-000017,B0001,2026-01-07,Tax Surcharge,373.88,2026-07-12T19:44:37+00:00
CHG-000057,ACCT-000018,B0001,2025-12-25,Tax Surcharge,33.59,2026-07-12T19:44:37+00:00
CHG-000058,ACCT-000018,B0001,2025-12-22,Base Fee,397.64,2026-07-12T19:44:37+00:00
CHG-000059,ACCT-000019,B0001,2025-12-28,Rider,342.25,2026-07-12T19:44:37+00:00
CHG-000060,ACCT-000019,B0001,2026-01-13,Rider,248.03,2026-07-12T19:44:37+00:00
CHG-000061,ACCT-000020,B0001,2026-01-01,Energy,226.12,2026-07-12T19:44:37+00:00
CHG-000062,ACCT-000021,B0001,2026-01-09,Base Fee,379.93,2026-07-12T19:44:37+00:00
CHG-000063,ACCT-000021,B0001,2026-01-09,Base Fee,379.93,2026-07-12T19:44:37+00:00
CHG-000064,ACCT-000022,B0001,2025-12-29,Energy,381.92,2026-07-12T19:44:37+00:00
CHG-000065,ACCT-000022,B0001,2026-01-02,Energy,167.25,2026-07-12T19:44:37+00:00
CHG-000066,ACCT-000022,B0001,2026-01-12,Rider,96.98,2026-07-12T19:44:37+00:00
CHG-000067,ACCT-000023,B0001,2026-01-13,Base Fee,291.93,2026-07-12T19:44:37+00:00
CHG-000068,ACCT-000023,B0001,2026-01-05,Tax Surcharge,195.09,2026-07-12T19:44:37+00:00
CHG-000069,ACCT-000024,B0001,2026-01-05,Tax Surcharge,376.14,2026-07-12T19:44:37+00:00
CHG-000070,ACCT-000024,B0001,2026-01-03,Rider,230.88,2026-07-12T19:44:37+00:00
CHG-000071,ACCT-000024,B0001,2026-01-09,Delivery,394.73,2026-07-12T19:44:37+00:00
CHG-000072,ACCT-000025,B0001,2025-12-30,Tax Surcharge,237.57,2026-07-12T19:44:37+00:00
CHG-000073,ACCT-000025,B0001,2026-01-12,Rider,85.34,2026-07-12T19:44:37+00:00
CHG-000074,ACCT-000026,B0001,2026-01-05,Rider,374.56,2026-07-12T19:44:37+00:00
CHG-000075,ACCT-000026,B0001,2026-01-14,Tax Surcharge,64.84,2026-07-12T19:44:37+00:00
CHG-000076,ACCT-000026,B0001,2026-01-08,Base Fee,169.08,2026-07-12T19:44:37+00:00
CHG-000077,ACCT-000026,B0001,2025-12-23,Energy,304.4,2026-07-12T19:44:37+00:00
CHG-000078,ACCT-000027,B0001,2026-01-05,Energy,212.26,2026-07-12T19:44:37+00:00
CHG-000079,ACCT-000028,B0001,2025-12-27,Delivery,346.15,2026-07-12T19:44:37+00:00
CHG-000080,ACCT-000028,B0001,2025-12-28,Delivery,172.16,2026-07-12T19:44:37+00:00
CHG-000081,ACCT-000028,B0001,2026-01-01,Base Fee,321.18,2026-07-12T19:44:37+00:00
CHG-000082,ACCT-000028,B0001,2026-01-07,Energy,324.9,2026-07-12T19:44:37+00:00
CHG-000083,ACCT-000029,B0001,2026-01-06,Delivery,272.11,2026-07-12T19:44:37+00:00
CHG-000084,ACCT-000029,B0001,2025-12-31,Energy,175.45,2026-07-12T19:44:37+00:00
CHG-000085,ACCT-000029,B0001,2026-01-03,Tax Surcharge,255.24,2026-07-12T19:44:37+00:00
CHG-000086,ACCT-000029,B0001,2025-12-28,Base Fee,213.48,2026-07-12T19:44:37+00:00
CHG-000087,ACCT-000030,B0001,2025-12-25,Delivery,83.67,2026-07-12T19:44:37+00:00
CHG-000088,ACCT-000030,B0001,2025-12-26,Energy,222.46,2026-07-12T19:44:37+00:00
CHG-000089,ACCT-000030,B0001,2025-12-21,Rider,41.86,2026-07-12T19:44:37+00:00
CHG-000090,ACCT-000030,B0001,2025-12-21,Rider,41.86,2026-07-12T19:44:37+00:00
CHG-000091,ACCT-000031,B0001,2025-12-30,Tax Surcharge,198.6,2026-07-12T19:44:37+00:00
CHG-000092,ACCT-000031,B0001,2026-01-10,Base Fee,335.78,2026-07-12T19:44:37+00:00
CHG-000093,ACCT-000031,B0001,2025-12-21,Base Fee,241.98,2026-07-12T19:44:37+00:00
CHG-000094,ACCT-000032,B0001,2026-01-07,Tax Surcharge,100.99,2026-07-12T19:44:37+00:00
CHG-000095,ACCT-000033,B0001,2025-12-27,Delivery,61.42,2026-07-12T19:44:37+00:00
CHG-000096,ACCT-000033,B0001,2025-12-26,Rider,218.04,2026-07-12T19:44:37+00:00
CHG-000097,ACCT-000033,B0001,2025-12-26,Rider,96.46,2026-07-12T19:44:37+00:00
CHG-000098,ACCT-000034,B0001,2025-12-29,Delivery,274.7,2026-07-12T19:44:37+00:00
CHG-000099,ACCT-000034,B0001,2026-01-01,Base Fee,374.02,2026-07-12T19:44:37+00:00
CHG-000100,ACCT-000035,B0001,2026-01-08,Base Fee,85.11,2026-07-12T19:44:37+00:00
CHG-000101,ACCT-000035,B0001,2025-12-25,Base Fee,376.82,2026-07-12T19:44:37+00:00
CHG-000102,ACCT-000035,B0001,2025-12-26,Base Fee,59.68,2026-07-12T19:44:37+00:00
CHG-000103,ACCT-000035,B0001,2026-01-03,Base Fee,144.39,2026-07-12T19:44:37+00:00
CHG-000104,ACCT-000036,B0001,2026-01-08,Delivery,390.0,2026-07-12T19:44:37+00:00
CHG-000105,ACCT-000036,B0001,2026-01-09,Energy,383.2,2026-07-12T19:44:37+00:00
CHG-000106,ACCT-000036,B0001,2026-01-09,Tax Surcharge,161.52,2026-07-12T19:44:37+00:00
CHG-000107,ACCT-000037,B0001,2025-12-21,Delivery,92.04,2026-07-12T19:44:37+00:00
CHG-000108,ACCT-000037,B0001,2025-12-25,Energy,106.37,2026-07-12T19:44:37+00:00
CHG-000109,ACCT-000037,B0001,2026-01-15,Base Fee,175.93,2026-07-12T19:44:37+00:00
CHG-000110,ACCT-000038,B0001,2025-12-27,Energy,361.73,2026-07-12T19:44:37+00:00
CHG-000111,ACCT-000038,B0001,2026-01-06,Rider,40.41,2026-07-12T19:44:37+00:00
CHG-000112,ACCT-000039,B0001,2026-01-05,Tax Surcharge,117.21,2026-07-12T19:44:37+00:00
CHG-000113,ACCT-000040,B0001,2026-01-01,Tax Surcharge,301.93,2026-07-12T19:44:37+00:00
CHG-000114,ACCT-000040,B0001,2026-01-12,Energy,381.32,2026-07-12T19:44:37+00:00
CHG-000115,ACCT-000040,B0001,2025-12-23,Delivery,301.85,2026-07-12T19:44:37+00:00
CHG-000116,ACCT-000041,B0001,2026-01-04,Delivery,330.81,2026-07-12T19:44:37+00:00
CHG-000117,ACCT-000041,B0001,2026-01-13,Energy,75.94,2026-07-12T19:44:37+00:00
CHG-000118,ACCT-000041,B0001,2026-01-13,Rider,83.28,2026-07-12T19:44:37+00:00
CHG-000119,ACCT-000042,B0001,2026-01-04,Energy,398.74,2026-07-12T19:44:37+00:00
CHG-000120,ACCT-000042,B0001,2025-12-30,Delivery,121.4,2026-07-12T19:44:37+00:00
CHG-000121,ACCT-000042,B0001,2025-12-25,Rider,166.96,2026-07-12T19:44:37+00:00
CHG-000122,ACCT-000043,B0001,2026-01-15,Delivery,199.09,2026-07-12T19:44:37+00:00
CHG-000123,ACCT-000043,B0001,2025-12-24,Base Fee,242.7,2026-07-12T19:44:37+00:00
CHG-000124,ACCT-000043,B0001,2026-01-04,Energy,138.88,2026-07-12T19:44:37+00:00
CHG-000125,ACCT-000044,B0001,2026-01-10,Base Fee,224.23,2026-07-12T19:44:37+00:00
CHG-000126,ACCT-000044,B0001,2025-12-23,Base Fee,391.97,2026-07-12T19:44:37+00:00
CHG-000127,ACCT-000044,B0001,2025-12-27,Energy,54.47,2026-07-12T19:44:37+00:00
CHG-000128,ACCT-000045,B0001,2026-01-01,Rider,338.28,2026-07-12T19:44:37+00:00
CHG-000129,ACCT-000045,B0001,2025-12-27,Rider,291.43,2026-07-12T19:44:37+00:00
CHG-000130,ACCT-000045,B0001,2026-01-07,Delivery,355.77,2026-07-12T19:44:37+00:00
CHG-000131,ACCT-000046,B0001,2026-01-15,Delivery,217.53,2026-07-12T19:44:37+00:00
CHG-000132,ACCT-000047,B0001,2026-01-15,Rider,302.23,2026-07-12T19:44:37+00:00
CHG-000133,ACCT-000048,B0001,2026-01-13,Rider,47.72,2026-07-12T19:44:37+00:00
CHG-000134,ACCT-000048,B0001,2026-01-02,Energy,321.3,2026-07-12T19:44:37+00:00
CHG-000135,ACCT-000048,B0001,2026-01-13,Base Fee,397.32,2026-07-12T19:44:37+00:00
CHG-000136,ACCT-000049,B0001,2025-12-24,Base Fee,77.75,2026-07-12T19:44:37+00:00
CHG-000137,ACCT-000049,B0001,2026-01-02,Energy,179.45,2026-07-12T19:44:37+00:00
CHG-000138,ACCT-000049,B0001,2026-01-02,Tax Surcharge,282.43,2026-07-12T19:44:37+00:00
CHG-000139,ACCT-000049,B0001,2025-12-30,Energy,279.36,2026-07-12T19:44:37+00:00
CHG-000140,ACCT-000050,B0001,2026-01-07,Delivery,133.7,2026-07-12T19:44:37+00:00
CHG-000141,ACCT-000050,B0001,2025-12-27,Delivery,69.38,2026-07-12T19:44:37+00:00
CHG-000142,ACCT-000051,B0001,2025-12-31,Rider,218.45,2026-07-12T19:44:37+00:00
CHG-000143,ACCT-000052,B0001,2025-12-27,Tax Surcharge,352.31,2026-07-12T19:44:37+00:00
CHG-000144,ACCT-000053,B0001,2026-01-12,Base Fee,75.26,2026-07-12T19:44:37+00:00
CHG-000145,ACCT-000053,B0001,2025-12-30,Delivery,45.65,2026-07-12T19:44:37+00:00
CHG-000146,ACCT-000053,B0001,2026-01-08,Rider,307.97,2026-07-12T19:44:37+00:00
CHG-000147,ACCT-000053,B0001,2025-12-30,Tax Surcharge,124.03,2026-07-12T19:44:37+00:00
CHG-000148,ACCT-000054,B0001,2026-01-06,Base Fee,118.54,2026-07-12T19:44:37+00:00
CHG-000149,ACCT-000054,B0001,2026-01-05,Energy,112.68,2026-07-12T19:44:37+00:00
CHG-000150,ACCT-000054,B0001,2026-01-04,Base Fee,276.87,2026-07-12T19:44:37+00:00
CHG-000151,ACCT-000054,B0001,2026-01-11,Tax Surcharge,75.52,2026-07-12T19:44:37+00:00
CHG-000152,ACCT-000055,B0001,2025-12-30,Base Fee,31.94,2026-07-12T19:44:37+00:00
CHG-000153,ACCT-000055,B0001,2026-01-04,Base Fee,138.13,2026-07-12T19:44:37+00:00
CHG-000154,ACCT-000055,B0001,2026-01-09,Base Fee,338.68,2026-07-12T19:44:37+00:00
CHG-000155,ACCT-000055,B0001,2026-01-09,Delivery,110.15,2026-07-12T19:44:37+00:00
CHG-000156,ACCT-000055,B0001,2025-12-30,Base Fee,31.94,2026-07-12T19:44:37+00:00
CHG-000157,ACCT-000056,B0001,2025-12-27,Rider,121.09,2026-07-12T19:44:37+00:00
CHG-000158,ACCT-000056,B0001,2026-01-10,Delivery,128.48,2026-07-12T19:44:37+00:00
CHG-000159,ACCT-000056,B0001,2025-12-27,Rider,121.09,2026-07-12T19:44:37+00:00
CHG-000160,ACCT-000057,B0001,2026-01-01,Base Fee,270.26,2026-07-12T19:44:37+00:00
CHG-000161,ACCT-000057,B0001,2025-12-30,Tax Surcharge,294.37,2026-07-12T19:44:37+00:00
CHG-000162,ACCT-000057,B0001,2026-01-10,Delivery,110.7,2026-07-12T19:44:37+00:00
CHG-000163,ACCT-000057,B0001,2026-01-07,Energy,334.95,2026-07-12T19:44:37+00:00
CHG-000164,ACCT-000058,B0001,2026-01-01,Tax Surcharge,116.56,2026-07-12T19:44:37+00:00
CHG-000165,ACCT-000058,B0001,2026-01-02,Energy,165.51,2026-07-12T19:44:37+00:00
CHG-000166,ACCT-000058,B0001,2026-01-01,Base Fee,37.47,2026-07-12T19:44:37+00:00
CHG-000167,ACCT-000059,B0001,2025-12-24,Base Fee,115.71,2026-07-12T19:44:37+00:00
CHG-000168,ACCT-000060,B0001,2025-12-22,Rider,313.99,2026-07-12T19:44:37+00:00
CHG-000169,ACCT-000060,B0001,2025-12-27,Energy,71.92,2026-07-12T19:44:37+00:00
CHG-000170,ACCT-000061,B0001,2026-01-13,Energy,347.56,2026-07-12T19:44:37+00:00
CHG-000171,ACCT-000061,B0001,2025-12-27,Tax Surcharge,30.77,2026-07-12T19:44:37+00:00
CHG-000172,ACCT-000061,B0001,2025-12-26,Tax Surcharge,396.86,2026-07-12T19:44:37+00:00
CHG-000173,ACCT-000061,B0001,2026-01-08,Delivery,210.88,2026-07-12T19:44:37+00:00
CHG-000174,ACCT-000062,B0001,2025-12-30,Base Fee,64.35,2026-07-12T19:44:37+00:00
CHG-000175,ACCT-000063,B0001,2025-12-21,Energy,245.96,2026-07-12T19:44:37+00:00
CHG-000176,ACCT-000063,B0001,2026-01-08,Energy,237.91,2026-07-12T19:44:37+00:00
CHG-000177,ACCT-000063,B0001,2026-01-11,Energy,250.88,2026-07-12T19:44:37+00:00
CHG-000178,ACCT-000064,B0001,2025-12-21,Delivery,47.46,2026-07-12T19:44:37+00:00
CHG-000179,ACCT-000065,B0001,2026-01-07,Energy,261.18,2026-07-12T19:44:37+00:00
CHG-000180,ACCT-000065,B0001,2026-01-02,Rider,308.18,2026-07-12T19:44:37+00:00
CHG-000181,ACCT-000065,B0001,2026-01-03,Base Fee,142.43,2026-07-12T19:44:37+00:00
CHG-000182,ACCT-000066,B0001,2026-01-13,Base Fee,213.75,2026-07-12T19:44:37+00:00
CHG-000183,ACCT-000067,B0001,2025-12-23,Base Fee,305.04,2026-07-12T19:44:37+00:00
CHG-000184,ACCT-000068,B0001,2026-01-14,Delivery,64.06,2026-07-12T19:44:37+00:00
CHG-000185,ACCT-000068,B0001,2026-01-08,Base Fee,257.33,2026-07-12T19:44:37+00:00
CHG-000186,ACCT-000068,B0001,2026-01-03,Tax Surcharge,41.22,2026-07-12T19:44:37+00:00
CHG-000187,ACCT-000068,B0001,2025-12-27,Delivery,314.86,2026-07-12T19:44:37+00:00
CHG-000188,ACCT-000069,B0001,2025-12-31,Tax Surcharge,273.61,2026-07-12T19:44:37+00:00
CHG-000189,ACCT-000069,B0001,2025-12-29,Energy,191.55,2026-07-12T19:44:37+00:00
CHG-000190,ACCT-000070,B0001,2026-01-10,Rider,77.53,2026-07-12T19:44:37+00:00
CHG-000191,ACCT-000070,B0001,2025-12-21,Base Fee,247.68,2026-07-12T19:44:37+00:00
CHG-000192,ACCT-000070,B0001,2025-12-24,Energy,380.44,2026-07-12T19:44:37+00:00
CHG-000193,ACCT-000070,B0001,2025-12-29,Base Fee,216.57,2026-07-12T19:44:37+00:00
CHG-000194,ACCT-000071,B0001,2026-01-15,Base Fee,383.08,2026-07-12T19:44:37+00:00
CHG-000195,ACCT-000071,B0001,2025-12-28,Base Fee,326.31,2026-07-12T19:44:37+00:00
CHG-000196,ACCT-000071,B0001,2025-12-21,Tax Surcharge,105.04,2026-07-12T19:44:37+00:00
CHG-000197,ACCT-000071,B0001,2025-12-27,Energy,63.08,2026-07-12T19:44:37+00:00
CHG-000198,ACCT-000072,B0001,2026-01-01,Tax Surcharge,245.78,2026-07-12T19:44:37+00:00
CHG-000199,ACCT-000072,B0001,2026-01-11,Tax Surcharge,139.25,2026-07-12T19:44:37+00:00
CHG-000200,ACCT-000072,B0001,2025-12-22,Delivery,303.52,2026-07-12T19:44:37+00:00
CHG-000201,ACCT-000072,B0001,2025-12-30,Energy,101.37,2026-07-12T19:44:37+00:00
CHG-000202,ACCT-000072,B0001,2025-12-22,Delivery,303.52,2026-07-12T19:44:37+00:00
CHG-000203,ACCT-000073,B0001,2025-12-27,Tax Surcharge,81.22,2026-07-12T19:44:37+00:00
CHG-000204,ACCT-000073,B0001,2025-12-30,Delivery,121.05,2026-07-12T19:44:37+00:00
CHG-000205,ACCT-000073,B0001,2026-01-10,Tax Surcharge,241.26,2026-07-12T19:44:37+00:00
CHG-000206,ACCT-000074,B0001,2025-12-26,Base Fee,336.5,2026-07-12T19:44:37+00:00
CHG-000207,ACCT-000074,B0001,2026-01-08,Rider,214.92,2026-07-12T19:44:37+00:00
CHG-000208,ACCT-000074,B0001,2026-01-01,Energy,59.26,2026-07-12T19:44:37+00:00
CHG-000209,ACCT-000075,B0001,2025-12-24,Base Fee,246.34,2026-07-12T19:44:37+00:00
CHG-000210,ACCT-000075,B0001,2026-01-03,Delivery,262.83,2026-07-12T19:44:37+00:00
CHG-000211,ACCT-000075,B0001,2025-12-30,Tax Surcharge,89.58,2026-07-12T19:44:37+00:00
CHG-000212,ACCT-000076,B0001,2026-01-08,Delivery,234.58,2026-07-12T19:44:37+00:00
CHG-000213,ACCT-000076,B0001,2025-12-28,Base Fee,144.4,2026-07-12T19:44:37+00:00
CHG-000214,ACCT-000076,B0001,2025-12-22,Delivery,346.54,2026-07-12T19:44:37+00:00
CHG-000215,ACCT-000076,B0001,2025-12-30,Rider,346.86,2026-07-12T19:44:37+00:00
CHG-000216,ACCT-000077,B0001,2026-01-06,Tax Surcharge,25.35,2026-07-12T19:44:37+00:00
CHG-000217,ACCT-000077,B0001,2026-01-12,Rider,107.77,2026-07-12T19:44:37+00:00
CHG-000218,ACCT-000077,B0001,2026-01-07,Base Fee,284.27,2026-07-12T19:44:37+00:00
CHG-000219,ACCT-000077,B0001,2026-01-04,Energy,282.52,2026-07-12T19:44:37+00:00
CHG-000220,ACCT-000078,B0001,2026-01-11,Energy,278.14,2026-07-12T19:44:37+00:00
CHG-000221,ACCT-000079,B0001,2026-01-14,Delivery,238.26,2026-07-12T19:44:37+00:00
CHG-000222,ACCT-000080,B0001,2025-12-24,Tax Surcharge,216.47,2026-07-12T19:44:37+00:00
CHG-000223,ACCT-000080,B0001,2025-12-31,Energy,261.4,2026-07-12T19:44:37+00:00
CHG-000224,ACCT-000080,B0001,2026-01-05,Energy,292.98,2026-07-12T19:44:37+00:00
CHG-000225,ACCT-000080,B0001,2025-12-28,Base Fee,37.46,2026-07-12T19:44:37+00:00
CHG-000226,ACCT-000081,B0001,2026-01-02,Delivery,290.63,2026-07-12T19:44:37+00:00
CHG-000227,ACCT-000081,B0001,2025-12-24,Delivery,288.94,2026-07-12T19:44:37+00:00
CHG-000228,ACCT-000081,B0001,2025-12-30,Tax Surcharge,329.07,2026-07-12T19:44:37+00:00
CHG-000229,ACCT-000082,B0001,2025-12-27,Rider,146.0,2026-07-12T19:44:37+00:00
CHG-000230,ACCT-000082,B0001,2026-01-08,Base Fee,385.74,2026-07-12T19:44:37+00:00
CHG-000231,ACCT-000082,B0001,2026-01-06,Delivery,215.04,2026-07-12T19:44:37+00:00
CHG-000232,ACCT-000083,B0001,2026-01-04,Delivery,210.35,2026-07-12T19:44:37+00:00
CHG-000233,ACCT-000083,B0001,2026-01-14,Base Fee,71.79,2026-07-12T19:44:37+00:00
CHG-000234,ACCT-000083,B0001,2026-01-04,Rider,188.06,2026-07-12T19:44:37+00:00
CHG-000235,ACCT-000083,B0001,2025-12-23,Rider,160.23,2026-07-12T19:44:37+00:00
CHG-000236,ACCT-000084,B0001,2025-12-26,Delivery,54.4,2026-07-12T19:44:37+00:00
CHG-000237,ACCT-000084,B0001,2026-01-12,Rider,236.46,2026-07-12T19:44:37+00:00
CHG-000238,ACCT-000084,B0001,2026-01-12,Rider,236.46,2026-07-12T19:44:37+00:00
CHG-000239,ACCT-000085,B0001,2025-12-22,Energy,396.26,2026-07-12T19:44:37+00:00
CHG-000240,ACCT-000086,B0001,2026-01-14,Energy,215.55,2026-07-12T19:44:37+00:00
CHG-000241,ACCT-000086,B0001,2025-12-28,Tax Surcharge,90.32,2026-07-12T19:44:37+00:00
CHG-000242,ACCT-000086,B0001,2026-01-05,Base Fee,317.76,2026-07-12T19:44:37+00:00
CHG-000243,ACCT-000087,B0001,2025-12-24,Delivery,29.23,2026-07-12T19:44:37+00:00
CHG-000244,ACCT-000087,B0001,2025-12-23,Base Fee,213.34,2026-07-12T19:44:37+00:00
CHG-000245,ACCT-000087,B0001,2025-12-28,Delivery,135.01,2026-07-12T19:44:37+00:00
CHG-000246,ACCT-000088,B0001,2026-01-05,Base Fee,395.44,2026-07-12T19:44:37+00:00
CHG-000247,ACCT-000088,B0001,2026-01-15,Base Fee,255.63,2026-07-12T19:44:37+00:00
CHG-000248,ACCT-000088,B0001,2025-12-24,Delivery,60.71,2026-07-12T19:44:37+00:00
CHG-000249,ACCT-000089,B0001,2025-12-23,Tax Surcharge,264.85,2026-07-12T19:44:37+00:00
CHG-000250,ACCT-000089,B0001,2026-01-02,Tax Surcharge,328.56,2026-07-12T19:44:37+00:00
CHG-000251,ACCT-000089,B0001,2025-12-22,Tax Surcharge,163.13,2026-07-12T19:44:37+00:00
CHG-000252,ACCT-000089,B0001,2025-12-22,Delivery,73.65,2026-07-12T19:44:37+00:00
CHG-000253,ACCT-000090,B0001,2026-01-10,Base Fee,361.01,2026-07-12T19:44:37+00:00
CHG-000254,ACCT-000090,B0001,2026-01-01,Energy,154.61,2026-07-12T19:44:37+00:00
CHG-000255,ACCT-000091,B0001,2025-12-23,Energy,279.48,2026-07-12T19:44:37+00:00
CHG-000256,ACCT-000091,B0001,2026-01-07,Energy,162.8,2026-07-12T19:44:37+00:00
CHG-000257,ACCT-000091,B0001,2025-12-28,Energy,49.68,2026-07-12T19:44:37+00:00
CHG-000258,ACCT-000092,B0001,2025-12-22,Delivery,295.48,2026-07-12T19:44:37+00:00
CHG-000259,ACCT-000092,B0001,2026-01-04,Rider,313.95,2026-07-12T19:44:37+00:00
CHG-000260,ACCT-000093,B0001,2025-12-30,Delivery,165.94,2026-07-12T19:44:37+00:00
CHG-000261,ACCT-000093,B0001,2026-01-15,Energy,215.53,2026-07-12T19:44:37+00:00
CHG-000262,ACCT-000093,B0001,2026-01-01,Tax Surcharge,297.95,2026-07-12T19:44:37+00:00
CHG-000263,ACCT-000093,B0001,2025-12-29,Rider,170.51,2026-07-12T19:44:37+00:00
CHG-000264,ACCT-000094,B0001,2025-12-27,Energy,177.72,2026-07-12T19:44:37+00:00
